text,label,trend,Time,Name,Quote,Before,After,rel_change
versatile creative plans to sell 4 in iris corp to repay borrowings,1,flat,2017-09-13T21:48:35+08:00,VERSATL,4995,0.795,0.79,-0.0062893081761006345
chicken egg producer ltkm reports 1q net loss,1,flat,2020-08-24T18:53:16+08:00,LTKM,7085,0.94,0.98,0.04255319148936174
tnb claims rm39 5m electricity bills from gamuda,1,flat,2018-03-09T14:38:25+08:00,GAMUDA,5398,4.96,4.95,-0.0020161290322580215
airasia x orders 34 more a330neo jets,1,flat,2018-07-19T18:53:53+08:00,AIRASIA,5099,3.23,3.25,0.00619195046439629
new hoong fatt shuts down metal parts production temporarily after 94 staff tested positive for covid 19,1,flat,2020-12-28T20:38:43+08:00,NHFATT,7060,2.2,2.2,0.0
azman steps down after 10 years as axiata chairman,1,flat,2018-08-06T10:48:20+08:00,AXIATA,6888,4.32,4.31,-0.002314814814814971
digi genting malaysia press metal among top fbm klci decliners,1,flat,2018-04-04T16:47:36+08:00,PMETAL,8869,4.34,4.19,-0.0345622119815667
chin teck 1q net profit doubles on higher palm prices,1,flat,2021-01-26T19:59:30+08:00,CIHLDG,2828,1.84,1.9,0.03260869565217382
engtex 1q earnings slump 45 on absence of disposal gain,1,flat,2018-05-24T22:11:35+08:00,ENGTEX,5056,1.15,1.14,-0.008695652173913052
aemulus may rebound higher says rhb retail research,1,flat,2020-01-03T08:35:45+08:00,AEMULUS,181,0.24,0.245,0.020833333333333353
star media plans to halt penang printing ops involves lay offs,1,flat,2018-05-22T10:58:59+08:00,STAR,6084,1.11,1.1,-0.009009009009009016
airasia group key asic ucrest bursa malaysia pasdec uem sunrise matrix concepts latitude tree cimb petdag uem edgenta dayang ynh property bumi armada csc steel xidelang and pelikan,1,flat,2019-11-23T01:10:21+08:00,LATITUD,7006,2.90196,2.90196,0.0
nova wellness appoints kenanga investment bank as ipo underwriter,1,flat,2018-06-21T19:46:46+08:00,KENANGA,6483,0.68,0.68,0.0
top glove cimb capitaland malaysia mall trust tas offshore puncak niaga sime darby plantation zecon marine general tnb komarkcorp sime darby property sbc corp prestariang and apft,1,flat,2020-07-21T23:08:17+08:00,TOPGLOV,7113,8.313333,8.233333,-0.009623095814879553
restrictions on foreign carmakers to protect local players a regressive move says maa,1,flat,2018-07-30T15:14:13+08:00,MAA,1198,0.63,0.63,0.0
gpa edaran jasa kita ni hsin puc sasbadi,2,uptrend,2017-10-26T13:04:17+08:00,EDARAN,5036,0.605,0.765,0.26446280991735543
bioalpha alam maritim riverview rubber peterlabs holdings comintel wz satu th plantations careplus inix xidelang and cepatwawasan,2,uptrend,2020-07-22T23:54:57+08:00,COMCORP,7195,0.17,0.19,0.11764705882352934
mbm resources 1q net profit slumps 45 as mco dampens sale volume autopart manufacturing,1,flat,2020-05-21T14:48:51+08:00,MBMR,5983,2.86,2.85,-0.003496503496503422
aeon credit alam maritim asia poly gfm services scientex and top glove,1,flat,2019-12-17T23:44:26+08:00,GFM,39,0.29,0.3,0.03448275862068969
zecon unit stake sale delayed,1,flat,2017-11-21T10:09:25+08:00,ZECON,7028,0.78,0.75,-0.03846153846153849
muhibbah engineering 4qfy17 net profit up 12 7 declares 7 sen dividend,1,flat,2018-03-01T00:47:19+08:00,MUHIBAH,5703,3.1,3.1,0.0
mgrc focusp mudajya sersol plabs crg asb pccs dataprp pansar kesm,1,flat,2020-01-10T13:14:37+08:00,PANSAR,8419,0.635,0.645,0.015748031496063006
i had no personal knowledge of amount airasia owed mahb airline official tells court,2,uptrend,2017-10-30T17:07:08+08:00,AIRASIA,5099,3.18,3.34,0.05031446540880494
sapura energy ioi properties umw holdings mbm resources sumatec and yfg,1,flat,2018-03-21T22:53:59+08:00,UMW,4588,6.45,6.5,0.007751937984496096
